Company,Title,Original Price,Current Price,Number of Reviews
마르시끄,"[브라이언 PICK] 마르시끄 링클 리페어 주름패치(미간, 팔자, 이마) 3종 택 1","12,900","11,800",999+
에스트라,[NEW/리뉴얼] 에스트라 아토베리어365 로션 150ml,"33,000","26,400",14
피지오겔,[한정기획] 피지오겔 데일리뮨 앰플 세럼 20ml+4ml+마스크팩1매 증정 기획,"45,000","39,900",999+
아비브,[1월 올영픽] 아비브 부활초 크림 뉴트리션 튜브 75ml 기획 (+30ml 추가 증정),"35,000","24,000",999+
케어플러스,[6년연속1위]케어플러스 상처커버 스팟패치 어워즈 한정기획(102+42매),"6,000","5,420",999+
아임미미,[애교살][하리무&레디 Pick] 아임미미 아임스틱 아이섀도우 시머 애교살메이커,"9,900","7,400",999+
아누아,[2023어워즈/3년연속] 아누아 어성초 77 수딩 토너 350ml 어워즈 한정 기획 (본품+리필팩+진정마스크1매),"45,000","29,900",999+
메디힐,[유이수 PICK] 메디힐 비타민씨 브라이트닝 세럼 40ml,"22,000","14,900",171
웰라쥬,[형원PICK] 웰라쥬 리얼 히알루로닉 블루 100 앰플 75ml 1+1 기획,"46,000","28,500",999+
클리오,[2023어워즈/4년연속 1등] 클리오 킬커버 더뉴 파운웨어 쿠션(본품+리필+쉐딩스틱 증정 기획),"36,000","27,000",999+
낫츠,낫츠 센텔라스카 연고 일랑일랑 15g,"20,000","18,000",999+
토니모리,[재유PICK][24SS/NEW] 토니모리 겟잇틴트 워터풀버터 13종,"16,000","12,800",999+
달바,[22관왕/3000만병 누적판매] 달바 화이트 트러플 퍼스트 스프레이 세럼 100ml,"29,900","20,900",999+
라보에이치,[2023 어워즈 샴푸 1위] 라보에이치 두피강화 샴푸 탈모증상완화 750ML 어워즈 한정기획(+120ML 2개),"36,000","26,900",999+
토리든,[대용량기획] 토리든 다이브인 저분자 히알루론산 세럼 70ml 대용량 기획(+세럼 10ml),"32,000","24,000",999+
아이디얼포맨,[5년연속1위]아이디얼 포맨 퍼펙트 올인원 밀크 어워즈 한정기획,"29,000","20,900",999+
넘버즈인,[흔적미백] 넘버즈인 5번 비타민C 뿌려만든 글루타치온 필름팩 1매,"4,000","2,000",255
토리든,[2023어워즈] 토리든 다이브인 저분자 히알루론산 마스크 10매 어워즈 한정기획 (+3매+밸런스풀마스크1매),"30,000","18,000",999+
정샘물,정샘물 에센셜 스킨 누더 쿠션 (본품+리필) 택 1,"42,000","39,900",999+
투크,[NEW도화살몬] 투크 워터프루프 슬림 아이라이너 10colors,"13,900","12,510",999+
클리오,[1등마스카라]클리오 킬래쉬 수퍼프루프마스카라 1+1 기획,"18,000","17,400",999+
러븀,[1월 올영픽] 러븀 애프터 글로우 유자 겔 마스크 5매,"25,000","16,700",999+
에스쁘아,[1월 올영픽] 에스쁘아 비글로우/비벨벳 쿠션 에어퍼프 5개입(2종),"10,000","7,900",999+
브링그린,브링그린 프레시마스크 1매 5종,"1,800",990,999+
3CE,[NEW/민니PICK] 3CE 샤인 리플렉터,"19,000","17,100",146
코스알엑스,코스알엑스 약산성 나이아신아마이드 미셀라 클렌징 워터 400mL,"17,000","9,520",999+
롬앤,[NEW/립밤] 롬앤 글래스팅 멜팅 밤,"13,000","9,900",999+
넘버즈인,[모공각질] 넘버즈인 4번 모공제로 깐달걀 토너패드 70매 기획 (+10매 추가 증정),"26,000","18,200",999+
넘버즈인,[흔적미백] 넘버즈인 5번 글루타치온C 흔적 앰플 30ml 기획(+패드 6매 증정),"28,000","19,600",999+
에스트라,에스트라 에이시카365 흔적진정세럼 40ml 기획 (+크림10ml+토너25ml 증정)(2307),"38,000","30,400",999+
리쥬란,[단독기획] 리쥬란 힐러 턴오버 앰플 듀얼 이펙트 30ml+7ml 증정 기획,"59,000","38,300",999+
딜라이트 프로젝트,딜라이트 프로젝트 베이글칩 125g 어워즈 한정 기획 2종 (갈릭/허니),"5,600","3,200",999+
에뛰드,[조효진 개발/NEW] 에뛰드 재창조 메이커 쉐딩 멀티 스틱 (웜&쿨),"14,000","11,200",999+
러븀,러븀 카밍 리페어 어린시카 스팟 패드 60매,"23,000","15,400",216
닥터지,[나도PICK/100ml+100ml] 닥터지 더모이스처 배리어 D 인텐스 크림 100ml+100ml 듀오기획,"45,000","26,910",999+
일리윤,일리윤 세라마이드 아토 로션기획(600ML+600ML),"55,900","35,900",999+
스킨푸드,[한정기획/1+1] 스킨푸드 로열허니 프로폴리스 인리치 에센스 50ml 리필기획,"32,000","19,500",999+
도브,[NEW] 도브 바디 스크럽 4종 택1,"17,900","13,400",225
메디힐,"[2023어워즈] 메디힐 마데카소사이드 흔적패드 100매 어워즈 기획 (+100매, 마스크2매)","39,900","28,900",999+
라보에이치,[1월 올영픽] 라보에이치 두피강화 캡슐트리트먼트 탈모증상완화 200ML 더블기획,"28,000","16,900",999+
바닐라코,[2023어워즈] 바닐라코 프라임 프라이머 피니쉬 파우더 12g 어워즈 한정기획(+프라이머 15ml증정),"22,000","17,600",999+
토르홉,토르홉 사우난지앙 솔트 마스크 150g,"45,100","38,400",877
메디힐,[단독기획] 메디힐 콜라겐 에센셜 마스크 10+1매 기획,"20,000","10,000",999+
일리윤,[1월 올영픽] 일리윤 세라마이드 아토 로션 (본품600ML+128ML 증정),"33,900","21,900",999+
어노브,어노브 실크 오일 에센스 70ml (단백질 헤어 에센스),"19,000","16,900",999+
아리얼,[ 1월 올영픽] 아리얼 더 퍼펙트 클렌징 티슈 플러스 100매,"9,900","5,700",999+
메디필,[1월올영픽] 메디필 레드 락토 콜라겐 클리어 폼 2.0 기획 (300ml+딥 해면 구성),"24,000","12,500",999+
롬앤,[블러셔] 롬앤 베러 댄 치크,"12,000","9,900",999+
듀이셀,듀이셀 큐라톤즈 모이스쳐 40ml,"23,900","19,100",6
클리오,클리오 벨벳립펜슬 샤프너 증정 기획세트,"14,000","9,310",999+
바이오더마,[2023어워즈] 바이오더마 센시비오 H2O 500ml 더블 어워즈 한정기획(10ml+화장솜 증정),"42,000","31,900",999+
파넬,[단독 기획] 파넬 시카마누 92세럼 더블 기획,"52,000","44,200",999+
메디필,메디필 히알루론산 레이어 물톡스 앰플 더블 기획 30ml,"34,000","25,500",999+
웨이크메이크,[1월올영픽] 웨이크메이크 워터 글로우 코팅 쿠션 (리필기획/스트랩기획),"36,000","26,800",999+
투쿨포스쿨,[6년연속수상쉐딩] 투쿨포스쿨 바이로댕 쉐이딩 단품/기획(+미니쉐딩증정),"16,000","14,400",999+
딥트3일,[1월 올영픽]딥트 3일 피치맛번 x 숌 포니 피치 뷰티 콜라보 기획 (30일분),"49,000","36,700",999+
모레모,[1월 올영픽]모레모 헤어 트리트먼트 미라클 2X 베이커리 에디션 기획 480ml(60ml 증정),"39,000","22,900",999+
포맨트,포맨트 시그니처 퍼퓸 50ml (코튼메모리),"49,000","46,000",999+
VDL,"[리뷰이벤트] VDL 커버스테인 퍼펙팅 파운데이션 30ml (SPF35, PA++)","30,000","24,000",999+
닥터자르트,닥터자르트 세라마이딘 울트라 모이스처라이징 크림 50ml,"50,000","25,000",999+
에스쁘아,[올영픽/윈터PICK] 에스쁘아 비글로우 뉴클래스 쿠션 단독기획 (본품+리필+체리퍼프+비글로우 파운데이션 7ml),"38,000","29,900",999+
얼터너티브스테레오,[NEW] 얼터너티브스테레오 립 포션 바미 로즈,"19,000","17,100",304
토리든,[단독기획] 토리든 다이브인 저분자 히알루론산 수딩 크림 100ml 기획(+20ml),"24,000","16,800",999+
클리오,[NEW 컬러 추가] 클리오 프로아이팔레트에어 기획/단품,"34,000","23,800",999+
어노브,어노브 히팅 가드 노워시 트리트먼트 147ml (극손상모 헤어팩),"18,000","14,900",999+
비플레인,비플레인 녹두 약산성 클렌징폼 160ml + 40ml 기획,"21,900","18,600",999+
달바,[선물추천] 달바 시그니처 오리지널 & 프리미엄 비건 미스트 세럼 기프트 세트,"55,000","35,900",537
토리든,[단독기획] 토리든 다이브인 저분자 히알루론산 클렌징 폼 더블 기획 (150ml+150ml),"26,000","18,200",999+
그로우어스,[2023어워즈] 그로우어스 데미지 테라피 노워시 트리트먼트 250ml 어워즈 한정기획(+샴푸 100ml),"26,000","23,200",999+
파파레서피,"파파레서피 효소 파우더 클렌저 50g 3종 택1 ([인씨 PICK] 블레미쉬(광채), 가지(보습), 티트리(진정))","18,000","13,680",999+
아벤느,[올리버쌤PICK]아벤느 오 떼르말 300ml 더블 한정기획 (와다다곰 콜라보),"34,000","21,700",999+
디마르3,[Y자모공교정/리뷰이벤트] 디마르3 시그니처 에스투드 프로텍터 대용량 앰플 170ml,"59,900","55,200",999+
더샘,[1등 컨실러] 더샘 커버 퍼펙션 트리플 팟 컨실러 4colors,"12,000","11,400",999+
폰즈,[1월 올영픽 / 오일증정] 폰즈 클리어 스파 립앤아이 리무버 300ml 기획세트,"24,500","12,500",999+
아비브,[2023어워즈] 아비브 어성초 스팟 패드 카밍터치 80매 더블 기획,"42,000","24,000",999+
메디힐,메디힐 티트리 에센셜 마스크 1매,"2,000","1,000",999+
넘버즈인,[피지진정] 넘버즈인 1번 시카 갈아만든 초록패드 70매 기획 (+10매 추가 증정),"26,000","18,200",999+
좋은느낌,좋은느낌 입는오버나이트 4P 1+1 한정 기획(총 8P) 2종 중 택1 (중형/대형),"8,600","6,200",999+
아누아,[리필기획] 아누아 어성초 77 클리어패드 리필 기획 (70+70매 리필),"45,000","33,700",999+
AHC,[판매량 1억개 돌파] AHC 텐 레볼루션 리얼 아이크림 포 페이스 스페셜 퍼밍 세트,"23,000","16,900",999+
레이비,레이비 바디워시 500ml 4종 택1,"10,900","8,900",999+
데이지크,[NEW] 데이지크 멜팅 캔디 밤 5종 택1,"14,000","9,980",999+
피지오겔,[한정기획] 피지오겔 레드수딩 AI 크림 100ml+30ml 증정 기획,"49,900","29,900",999+
아이오페,[단독기획] 아이오페 레티놀 슈퍼 바운스 세럼 30ml 기획(+세럼 10ml+바이오에센스48ml),"50,000","42,000",999+
세타필,세타필 모이스춰라이징 로션 1L,"25,600","20,900",999+
아비브,[NEW] 아비브 껌딱지 시트 마스크 마데카소사이드 스티커 1매,"4,000","2,000",999+
